month_period,scores_minutes,scores_speeches,scores_publications,scores_reference
"2020,09",-0.5333,,,-0.1814159292035398
"2020,11",0.0,,,-0.2583025830258302
"2020,12",-0.375,,0.3,-0.2357142857142857
"2021,01",,0.0,,
"2021,02",-0.1562,-0.1,,-0.2075471698113207
"2021,03",-0.1818,-0.2561,,-0.1463414634146341
"2021,05",0.0,-0.0631,,-0.0077519379844961
"2021,06",0.1026,-0.1139,0.3333,0.2649253731343283
"2021,07",,0.0512,-1.0,
"2021,08",0.0227,,,0.0152091254752851
"2021,09",-0.0244,-0.219,-1.0,0.0798722044728434
"2021,10",,0.0068,0.0,
"2021,11",-0.1556,0.0558,,0.0621301775147929
"2021,12",0.0,-0.0528,-1.0,0.119298245614035
"2022,01",,0.3333,,
"2022,02",-0.0222,-0.1111,,0.3127035830618892
"2022,03",0.2,0.1509,,0.3371647509578544
"2022,04",,-0.0659,,
"2022,05",0.0816,0.0649,,0.26
"2022,06",0.2326,0.1301,-1.0,0.3302752293577982
"2022,07",,0.0095,-0.6,
"2022,08",-0.0244,,-1.0,0.2285714285714285
"2022,09",-0.0556,0.0723,,0.1434977578475336
"2022,10",,-0.0286,-0.6667,
"2022,11",0.0,-0.0457,,0.0154440154440154
"2022,12",0.0,,,-0.056
"2023,02",-0.0357,0.0592,,-0.096938775510204
"2023,03",-0.0244,-0.2018,,0.0131004366812227
"2023,04",,-0.008,,
"2023,05",0.0,0.0215,0.0,0.1732283464566929
"2023,06",0.2222,-0.1081,-1.0,0.1711229946524064
"2023,07",,0.0423,,
"2023,08",0.2941,-0.1357,,0.2575757575757575
"2023,09",0.0,,0.0,-0.0044444444444444
"2023,10",,-0.4512,0.0,
"2023,11",-0.0952,-0.005,0.0,0.2213740458015267
"2023,12",-0.1837,0.0095,,-0.1208791208791208
"2024,01",,-0.0476,,
"2024,02",-0.05,0.0848,,-0.1074380165289256
"2024,03",-0.1562,-0.1282,0.0,0.0105263157894736
"2024,04",,0.3333,-1.0,
"2024,05",-0.1212,-0.0935,0.3333,-0.0087719298245614
"2024,06",-0.1923,,,0.0234741784037558
"2024,07",,0.0859,0.0,
"2024,08",-0.2083,-0.0611,-1.0,0.0097087378640776
"2024,09",-0.3462,-0.0403,0.0,-0.1333333333333333
"2024,10",,-0.0496,0.0,
"2024,11",-0.2963,-0.0625,,
"2024,12",-0.24,,`0.0,
"2025,01",,-0.1319,1.0,
"2025,02",,0.0073,,
"2025,03",,0.0842,,
"2025,04",,,-0.8,
"2025,05",,-0.0495,0.1667,
"2025,06",,-0.0851,-0.2665,
"2025,07",,0.0734,-0.8,
"2025,08",,0.2266,-0.4018,
"2025,09",,0.0439,0.0592,
"2025,10",,-0.047,-0.2768,
