month_period,scores_merged_text
"2020,09",-0.5333
"2020,11",0.0
"2020,12",-0.375
"2021,01",0.0
"2021,02",-0.1287
"2021,03",-0.2437
"2021,05",-0.0636
"2021,06",-0.0945
"2021,07",0.0512
"2021,08",0.0227
"2021,09",-0.1742
"2021,10",0.0068
"2021,11",0.0165
"2021,12",-0.0528
"2022,01",0.3333
"2022,02",-0.0972
"2022,03",0.1579
"2022,04",-0.0659
"2022,05",0.0684
"2022,06",0.1453
"2022,07",0.0095
"2022,08",-0.0244
"2022,09",0.0594
"2022,10",-0.0286
"2022,11",-0.0405
"2022,12",0.0
"2023,02",0.0508
"2023,03",-0.1897
"2023,04",-0.008
"2023,05",0.0155
"2023,06",0.0548
"2023,07",0.0423
"2023,08",-0.0856
"2023,09",0.0
"2023,10",-0.4512
"2023,11",-0.0135
"2023,12",-0.0698
"2024,01",-0.0476
"2024,02",0.0644
"2024,03",-0.1364
"2024,04",0.3333
"2024,05",-0.0953
"2024,06",-0.1923
"2024,07",0.0859
"2024,08",-0.0839
"2024,09",-0.0933
"2024,10",-0.0496
"2024,11",-0.1032
"2024,12",-0.24
"2025,01",-0.1319
"2025,02",0.0073
"2025,03",0.0842
"2025,05",-0.0495
"2025,06",-0.0851
"2025,07",0.0734
"2025,08",0.2266
"2025,09",0.0439
"2025,10",-0.047
