source,date,score,hawkish_sent,dovish_sent,neutral_sent,irrelevant_sent,total_sent
speeches,2025-10-08,0.0638,8,5,34,26,73
speeches,2025-10-17,-0.2,1,2,2,2,7
speeches,2025-10-09,-0.0808,14,22,63,12,111
speeches,2025-09-23,-0.3438,4,15,13,26,58
speeches,2025-09-24,0.0833,99,75,114,46,334
speeches,2025-08-26,0.2266,43,14,71,38,166
speeches,2025-07-02,-0.0194,8,10,85,55,158
speeches,2025-07-04,-0.3333,1,2,0,0,3
speeches,2025-07-10,0.1699,64,38,51,37,190
speeches,2025-07-03,0.0,3,3,23,23,52
speeches,2025-06-26,-0.1,4,6,10,18,38
speeches,2025-06-11,-0.0261,20,24,109,49,202
speeches,2025-06-24,0.3333,1,0,2,0,3
speeches,2025-06-24,-0.0769,4,7,28,38,77
speeches,2025-06-26,-0.0154,3,4,58,73,138
speeches,2025-06-10,-0.1926,13,39,83,45,180
speeches,2025-06-02,-0.0909,0,1,10,2,13
speeches,2025-06-20,0.0,7,7,47,92,153
speeches,2025-05-13,0.0769,4,3,6,100,113
speeches,2025-05-20,0.1667,2,1,3,1,7
speeches,2025-05-12,0.3333,1,0,2,0,3
speeches,2025-05-09,0.0533,56,47,66,38,207
speeches,2025-05-09,-0.1818,7,19,40,36,102
speeches,2025-05-29,-0.1429,9,19,42,51,121
speeches,2025-03-06,0.0842,53,36,113,26,228
speeches,2025-02-11,-0.0526,15,22,96,48,181
speeches,2025-02-12,0.1259,77,43,150,51,321
speeches,2025-02-11,-0.0865,17,26,61,21,125
speeches,2025-02-26,-0.0552,56,66,59,20,201
speeches,2025-01-23,-0.1294,13,24,48,46,131
speeches,2025-01-09,0.0,0,0,5,3,8
speeches,2024-11-14,-0.0326,17,20,55,15,107
speeches,2024-11-14,-0.1389,4,9,23,23,59
speeches,2024-10-03,0.2,2,0,8,34,44
speeches,2024-10-04,-0.0606,29,37,66,46,178
speeches,2024-09-25,0.3077,4,0,9,96,109
speeches,2024-09-10,-0.0714,6,14,92,56,168
speeches,2024-08-23,-0.0611,22,30,79,35,166
speeches,2024-07-08,0.5,2,0,2,0,4
speeches,2024-07-22,0.0612,10,7,32,10,59
speeches,2024-07-10,0.0556,15,11,46,40,112
speeches,2024-07-08,0.8,4,0,1,107,112
speeches,2024-05-21,0.2188,10,3,19,23,55
speeches,2024-05-23,0.5,2,0,2,1,5
speeches,2024-05-21,-0.116,36,65,149,85,335
speeches,2024-05-16,-0.1186,41,62,74,45,222
speeches,2024-04-23,0.3333,1,0,2,0,3
speeches,2024-03-01,0.3333,1,0,2,0,3
speeches,2024-03-07,-0.0455,3,4,15,128,150
speeches,2024-03-12,-0.1667,4,13,37,44,98
speeches,2024-02-08,0.25,6,3,3,1,13
speeches,2024-02-15,0.0758,71,55,85,40,251
speeches,2024-02-12,0.5,1,0,1,8,10
speeches,2024-01-29,-0.0476,21,25,38,7,91
speeches,2023-12-18,0.0095,34,32,145,51,262
speeches,2023-11-13,0.5,2,0,2,1,5
speeches,2023-11-03,0.4706,9,1,7,5,22
speeches,2023-11-16,-0.1092,19,32,68,14,133
speeches,2023-11-03,-0.0839,25,38,92,23,178
speeches,2023-11-28,1.0,3,0,0,0,3
speeches,2023-11-20,1.0,3,0,0,0,3
speeches,2023-11-30,0.1215,32,19,56,22,129
speeches,2023-10-16,-0.4479,8,81,74,125,288
speeches,2023-10-02,0.0,1,1,0,2,4
speeches,2023-08-26,-0.1357,63,98,97,44,302
speeches,2023-07-10,0.0423,18,15,38,69,140
speeches,2023-06-20,0.0,0,0,2,3,5
speeches,2023-06-13,-0.1111,6,10,20,12,48
speeches,2023-05-04,0.0,0,0,1,2,3
speeches,2023-05-17,0.0217,40,38,14,20,112
speeches,2023-04-04,0.3312,75,23,59,24,181
speeches,2023-04-04,-0.1397,39,77,156,28,300
speeches,2023-04-27,0.5,2,0,2,2,6
speeches,2023-04-25,0.0669,81,59,189,71,400
speeches,2023-04-27,-0.3826,14,58,43,19,134
speeches,2023-03-09,-0.264,15,48,62,82,207
speeches,2023-03-27,-0.2621,34,88,84,29,235
speeches,2023-03-23,-0.2766,11,24,12,117,164
speeches,2023-03-27,0.0,0,0,1,1,2
speeches,2023-03-01,0.1875,48,30,18,36,132
speeches,2023-03-03,-0.369,7,38,39,36,120
speeches,2023-02-16,0.169,26,14,31,28,99
speeches,2023-02-27,-0.2245,6,17,26,252,301
speeches,2023-02-06,0.1065,44,26,99,15,184
speeches,2022-11-11,0.1875,24,12,28,11,75
speeches,2022-11-02,0.25,1,0,3,12,16
speeches,2022-11-14,1.0,1,0,0,2,3
speeches,2022-11-23,-0.1094,35,49,44,22,150
speeches,2022-11-21,-0.0328,5,7,49,75,136
speeches,2022-11-24,-0.25,0,1,3,0,4
speeches,2022-11-07,-0.0991,30,41,40,10,121
speeches,2022-11-11,-0.25,1,2,1,0,4
speeches,2022-10-12,0.0265,34,31,48,42,155
speeches,2022-10-15,-0.2969,11,30,23,23,87
speeches,2022-10-19,-0.3333,0,1,2,8,11
speeches,2022-10-20,0.0249,74,68,99,52,293
speeches,2022-09-20,0.3333,1,0,2,3,6
speeches,2022-09-05,0.0697,63,46,135,22,266
speeches,2022-09-07,0.0,0,0,2,1,3
speeches,2022-09-29,1.0,1,0,0,3,4
speeches,2022-07-11,-0.1075,15,25,53,108,201
speeches,2022-07-18,1.0,1,0,0,1,2
speeches,2022-07-19,0.0,0,0,0,3,3
speeches,2022-07-12,-0.0351,12,14,31,52,109
speeches,2022-07-12,0.0,0,0,1,0,1
speeches,2022-07-07,0.1935,33,21,8,11,73
speeches,2022-06-28,0.1,10,2,68,64,144
speeches,2022-06-24,0.0,1,1,6,11,19
speeches,2022-06-20,0.15,56,32,72,25,185
speeches,2022-05-20,0.0802,56,43,63,40,202
speeches,2022-05-23,0.0,8,8,6,4,26
speeches,2022-04-07,-0.3019,9,25,19,50,103
speeches,2022-04-21,0.0,56,56,95,14,221
speeches,2022-04-28,-0.0755,19,27,60,37,143
speeches,2022-05-03,0.0,1,1,1,0,3
speeches,2022-03-30,0.0,1,1,2,3,7
speeches,2022-03-01,0.1579,95,62,52,23,232
speeches,2022-02-23,0.0,2,2,1,0,5
speeches,2022-02-09,-0.2137,15,40,62,31,148
speeches,2022-02-09,-0.0164,25,27,70,37,159
speeches,2022-01-21,0.3333,2,1,0,0,3
speeches,2021-12-06,0.0,0,0,2,0,2
speeches,2021-12-03,-0.0531,83,96,66,21,266
speeches,2021-11-03,0.1765,3,0,14,49,66
speeches,2021-11-25,-1.0,0,1,0,5,6
speeches,2021-11-23,0.375,5,2,1,0,8
speeches,2021-11-26,0.0405,53,46,74,47,220
speeches,2021-10-13,0.0071,26,25,89,64,204
speeches,2021-10-25,-0.2,1,2,2,2,7
speeches,2021-09-22,-0.5238,1,12,8,50,71
speeches,2021-09-27,-0.1709,30,50,37,33,150
speeches,2021-07-22,0.0,2,2,0,0,4
speeches,2021-07-19,-0.8571,0,6,1,0,7
speeches,2021-07-15,0.1964,78,45,45,13,181
speeches,2021-07-26,-0.5,0,2,2,0,4
speeches,2021-07-01,-0.1053,33,45,36,28,142
speeches,2021-06-15,-0.0323,6,8,48,43,105
speeches,2021-06-30,-0.1111,52,82,136,336,606
speeches,2021-06-01,-0.1846,8,20,37,25,90
speeches,2021-05-27,0.2222,4,2,3,1,10
speeches,2021-05-13,-0.0777,21,29,53,90,193
speeches,2021-03-26,-1.0,0,1,0,4,5
speeches,2021-03-26,-0.2454,25,65,73,21,184
speeches,2021-03-05,-1.0,0,3,0,0,3
speeches,2021-02-26,0.6,3,0,2,2,7
speeches,2021-02-05,-0.127,10,18,35,24,87
speeches,2021-02-19,-0.3333,0,1,2,0,3
speeches,2021-01-11,-1.0,0,2,0,1,3
speeches,2021-01-12,0.5,1,0,1,1,3
